resort,ds,Year,Week,prop_hat,prop_lo,prop_hi,y_abs_hat,y_abs_lo,y_abs_hi
Selwyn,2026-06-30,2026,4,0.071268443763805,0.0709494831120847,0.07016983457475172,4307.011355579143,1609.233469378884,6877.653575981082
Selwyn,2026-07-07,2026,5,0.10686016466403916,0.1400655473420362,0.09738637815327778,6457.948544413414,3176.8824352616816,9545.266509702424
Selwyn,2026-07-14,2026,6,0.11415873291289871,0.14974731661232762,0.09964996358803799,6899.0275783753195,3396.4784981102807,9767.130456714192
Selwyn,2026-07-21,2026,7,0.09893639590734384,0.12314874097362229,0.08897528205597037,5979.086369070076,2793.1856159339504,8720.858051250938
Selwyn,2026-07-28,2026,8,0.08545204411639229,0.09551549942122611,0.07918711339382643,5164.177929666944,2166.4250642989655,7761.476664512955
Selwyn,2026-08-04,2026,9,0.08431978578394755,0.09829000258507341,0.07905498163683054,5095.7514390948945,2229.354675006731,7748.5258508690185
Selwyn,2026-08-11,2026,10,0.08596406798504348,0.09939564186645497,0.07982981980228339,5195.121394967196,2254.4321196704004,7824.471141487545
Selwyn,2026-08-18,2026,11,0.08007580288240203,0.08651276545224464,0.07473924629341173,4839.2721112956315,1962.2304714234672,7325.521681092446
Selwyn,2026-08-25,2026,12,0.06800060379578668,0.06932568414844384,0.06683706323722106,4109.523896794217,1572.4034386976803,6550.994024246261
Selwyn,2026-09-01,2026,13,0.05441833919501577,0.04207652898575556,0.05973174784420376,3288.698230053466,954.3545033612163,5854.5708658134145
Selwyn,2026-09-08,2026,14,0.03961672722843072,0.016383708666398555,0.04771277572963579,2394.182965594515,371.60541813772136,4676.538638085767
Selwyn,2026-09-15,2026,15,0.02852948508532766,0.0,0.03987234874120969,1724.140583714237,0.0,3908.063964588817
Thredbo,2026-06-09,2026,1,0.024867242599139444,0.0,0.03761405081352822,8136.105291807384,0.0,19789.346186140538
Thredbo,2026-06-16,2026,2,0.023175548590504344,0.0,0.03682709072843308,7582.6140665176445,0.0,19375.31405660927
